Date,Electric Vehicle (EV) Total,Percent Electric Vehicles,month,year
2017-01-31,21988,397.15999999999997,1,2017
2017-02-28,22647,376.71999999999997,2,2017
2017-03-31,23237,378.15999999999997,3,2017
2017-04-30,23911,381.5,4,2017
2017-05-31,24517,379.15,5,2017
2017-06-30,25173,351.22,6,2017
2017-07-31,25736,354.48,7,2017
2017-08-31,26240,360.16,8,2017
2017-09-30,26867,356.41,9,2017
2017-10-31,27575,358.82,10,2017
2017-11-30,28157,366.46999999999997,11,2017
2017-12-31,28693,369.76,12,2017
2018-01-31,29644,378.12,1,2018
2018-02-28,30183,380.24,2,2018
2018-03-31,30939,394.04,3,2018
2018-04-30,31795,426.29,4,2018
2018-05-31,32967,433.46,5,2018
2018-06-30,34098,454.65,6,2018
2018-07-31,34904,483.75,7,2018
2018-08-31,35790,489.03999999999996,8,2018
2018-09-30,36687,503.6,9,2018
2018-10-31,38386,564.44,10,2018
2018-11-30,40002,577.0,11,2018
2018-12-31,41240,576.71,12,2018
2019-01-31,43001,595.58,1,2019
2019-02-28,43727,612.42,2,2019
2019-03-31,44188,651.39,3,2019
2019-04-30,45413,662.7,4,2019
2019-05-31,46362,679.95,5,2019
2019-06-30,47414,744.81,6,2019
2019-07-31,48624,812.09,7,2019
2019-08-31,49550,868.1899999999999,8,2019
2019-09-30,50532,821.21,9,2019
2019-10-31,52378,834.38,10,2019
2019-11-30,52993,840.37,11,2019
2019-12-31,53798,788.72,12,2019
2020-01-31,56013,800.23,1,2020
2020-02-29,56591,795.5,2,2020
2020-03-31,57438,804.51,3,2020
2020-04-30,57740,825.53,4,2020
2020-05-31,57725,817.9,5,2020
2020-06-30,58084,830.73,6,2020
2020-07-31,59595,860.52,7,2020
2020-08-31,60332,924.85,8,2020
2020-09-30,61098,941.67,9,2020
2020-10-31,62348,1009.67,10,2020
2020-11-30,63882,1113.55,11,2020
2020-12-31,64964,1116.73,12,2020
2021-01-31,66853,1270.56,1,2021
2021-02-28,68002,1381.54,2,2021
2021-03-31,69172,1308.62,3,2021
2021-04-30,71467,1466.3,4,2021
2021-05-31,73106,1515.21,5,2021
2021-06-30,74801,1475.82,6,2021
2021-07-31,77242,1605.83,7,2021
2021-08-31,79174,1575.1,8,2021
2021-09-30,80687,1585.39,9,2021
2021-10-31,82824,1607.89,10,2021
2021-11-30,84854,1619.66,11,2021
2021-12-31,86624,1669.16,12,2021
2022-01-31,88550,1645.35,1,2022
2022-02-28,90438,1661.67,2,2022
2022-03-31,92471,1667.94,3,2022
2022-04-30,95219,1588.02,4,2022
2022-05-31,97043,1435.48,5,2022
2022-06-30,99168,1414.92,6,2022
2022-07-31,101888,1404.62,7,2022
2022-08-31,104589,1470.67,8,2022
2022-09-30,106276,1438.98,9,2022
2022-10-31,109834,1496.9,10,2022
2022-11-30,113311,1481.29,11,2022
2022-12-31,116006,1396.28,12,2022
2023-01-31,119707,1430.97,1,2023
2023-02-28,122652,1447.38,2,2023
2023-03-31,125831,1368.67,3,2023
2023-04-30,130090,1391.56,4,2023
2023-05-31,134382,1396.29,5,2023
2023-06-30,138873,1421.73,6,2023
2023-07-31,143126,1402.88,7,2023
2023-08-31,149497,1444.66,8,2023
2023-09-30,153841,1446.82,9,2023
2023-10-31,158792,1461.45,10,2023
2023-11-30,162448,1498.26,11,2023
2023-12-31,166166,1496.8,12,2023
2024-01-31,171113,1452.37,1,2024
2024-02-29,174032,1486.75,2,2024
